closed,49,1844.109cm,907.416cm,0.0cm
closed,49,2265.886cm,907.416cm,0.0cm
closed,50,-2030.217cm,-317.63cm,0.0cm
closed,50,-2328.033cm,-317.63cm,0.0cm
closed,50,-2328.033cm,832.096cm,0.0cm
closed,50,-2030.217cm,832.096cm,0.0cm
closed,51,-1725.417cm,-317.63cm,0.0cm
closed,51,-1901.313cm,-317.63cm,0.0cm
closed,51,-1901.313cm,832.096cm,0.0cm
closed,51,-1725.417cm,832.096cm,0.0cm
closed,52,-1587.237cm,-620.691cm,0.0cm
closed,52,-2725.293cm,-620.691cm,0.0cm
closed,52,-2725.293cm,953.136cm,0.0cm
closed,52,-1587.237cm,953.136cm,0.0cm
closed,53,988.195cm,1481.315cm,0.0cm
closed,53,-65.981cm,1481.315cm,0.0cm
closed,53,-65.981cm,1619.976cm,0.0cm
closed,53,988.195cm,1619.976cm,0.0cm
closed,54,988.195cm,1786.114cm,0.0cm
closed,54,-65.981cm,1786.114cm,0.0cm
closed,54,-65.981cm,1924.776cm,0.0cm
closed,54,988.195cm,1924.776cm,0.0cm
closed,55,1107.258cm,1326.98cm,0.0cm
closed,55,-176.106cm,1326.98cm,0.0cm
closed,55,-176.106cm,1997.54cm,0.0cm
closed,55,1107.258cm,1997.54cm,0.0cm
closed,56,988.195cm,2319.515cm,0.0cm
closed,56,-65.981cm,2319.515cm,0.0cm
closed,56,-65.981cm,2534.376cm,0.0cm
closed,56,988.195cm,2534.376cm,0.0cm
closed,57,988.195cm,2624.315cm,0.0cm
closed,57,-65.981cm,2624.315cm,0.0cm
closed,57,-65.981cm,2839.176cm,0.0cm
closed,57,988.195cm,2839.176cm,0.0cm
closed,58,1107.258cm,2088.98cm,0.0cm
closed,58,-176.106cm,2088.98cm,0.0cm
closed,58,-176.106cm,2911.94cm,0.0cm
closed,58,1107.258cm,2911.94cm,0.0cm
closed,59,-3451.86cm,-182.88cm,0.0cm
closed,59,-3688.08cm,-182.88cm,0.0cm
closed,59,-3688.08cm,13.97cm,0.0cm
closed,59,-3451.86cm,13.97cm,0.0cm
closed,60,-3756.66cm,-182.88cm,0.0cm
closed,60,-3992.88cm,-182.88cm,0.0cm
closed,60,-3992.88cm,13.97cm,0.0cm
closed,60,-3756.66cm,13.97cm,0.0cm
closed,61,-460.497cm,-500.51cm,0.0cm
closed,61,-1154.552cm,-500.51cm,0.0cm
closed,61,-1154.552cm,877.816cm,0.0cm
closed,61,-460.497cm,877.816cm,0.0cm
closed,62,-1679.697cm,-500.51cm,0.0cm
closed,62,-2373.753cm,-500.51cm,0.0cm
closed,62,-2373.753cm,877.816cm,0.0cm
closed,62,-1679.697cm,877.816cm,0.0cm
closed,63,-1237.737cm,-317.63cm,0.0cm
closed,63,-1413.633cm,-317.63cm,0.0cm
closed,63,-1413.633cm,832.096cm,0.0cm
closed,63,-1237.737cm,832.096cm,0.0cm
closed,64,-2456.937cm,-317.63cm,0.0cm
closed,64,-2632.832cm,-317.63cm,0.0cm
closed,64,-2632.832cm,832.096cm,0.0cm
closed,64,-2456.937cm,832.096cm,0.0cm
closed,65,1168.218cm,1220.3cm,0.0cm
closed,65,-237.066cm,1220.3cm,0.0cm
closed,65,-237.066cm,2972.9cm,0.0cm
closed,65,1168.218cm,2972.9cm,0.0cm
closed,66,988.195cm,3462.515cm,0.0cm
closed,66,-65.981cm,3462.515cm,0.0cm
closed,66,-65.981cm,3601.176cm,0.0cm
closed,66,988.195cm,3601.176cm,0.0cm
closed,67,988.195cm,3767.315cm,0.0cm
closed,67,-65.981cm,3767.315cm,0.0cm
closed,67,-65.981cm,3905.976cm,0.0cm
closed,67,988.195cm,3905.976cm,0.0cm
closed,68,1107.258cm,3186.26cm,0.0cm
closed,68,-176.106cm,3186.26cm,0.0cm
closed,68,-176.106cm,4832.18cm,0.0cm
closed,68,1107.258cm,4832.18cm,0.0cm
closed,69,988.195cm,5276.074cm,0.0cm
closed,69,-65.981cm,5276.074cm,0.0cm
closed,69,-65.981cm,5490.936cm,0.0cm
closed,69,988.195cm,5490.936cm,0.0cm
closed,70,988.195cm,5580.874cm,0.0cm
closed,70,-65.981cm,5580.874cm,0.0cm
closed,70,-65.981cm,5795.736cm,0.0cm
closed,70,988.195cm,5795.736cm,0.0cm
closed,71,1107.258cm,4923.62cm,0.0cm
closed,71,-176.106cm,4923.62cm,0.0cm
closed,71,-176.106cm,6874.34cm,0.0cm
closed,71,1107.258cm,6874.34cm,0.0cm
closed,72,1168.218cm,3079.58cm,0.0cm
closed,72,-237.066cm,3079.58cm,0.0cm
closed,72,-237.066cm,6935.3cm,0.0cm
closed,72,1168.218cm,6935.3cm,0.0cm
closed,73,1049.155cm,3308.18cm,0.0cm
closed,73,-126.941cm,3308.18cm,0.0cm
closed,73,-126.941cm,3966.936cm,0.0cm
closed,73,1049.155cm,3966.936cm,0.0cm
closed,74,988.195cm,4285.475cm,0.0cm
closed,74,-65.981cm,4285.475cm,0.0cm
closed,74,-65.981cm,4424.136cm,0.0cm
closed,74,988.195cm,4424.136cm,0.0cm
closed,75,988.195cm,4590.275cm,0.0cm
closed,75,-65.981cm,4590.275cm,0.0cm
closed,75,-65.981cm,4728.936cm,0.0cm
closed,75,988.195cm,4728.936cm,0.0cm
closed,76,1049.155cm,4070.18cm,0.0cm
closed,76,-126.941cm,4070.18cm,0.0cm
closed,76,-126.941cm,4789.896cm,0.0cm
closed,76,1049.155cm,4789.896cm,0.0cm
closed,77,1049.155cm,5045.54cm,0.0cm
closed,77,-126.941cm,5045.54cm,0.0cm
closed,77,-126.941cm,5856.696cm,0.0cm
closed,77,1049.155cm,5856.696cm,0.0cm
closed,78,988.195cm,6251.434cm,0.0cm
closed,78,-65.981cm,6251.434cm,0.0cm
closed,78,-65.981cm,6466.296cm,0.0cm
closed,78,988.195cm,6466.296cm,0.0cm
closed,79,988.195cm,6556.234cm,0.0cm
closed,79,-65.981cm,6556.234cm,0.0cm
closed,79,-65.981cm,6771.096cm,0.0cm
closed,79,988.195cm,6771.096cm,0.0cm
closed,80,1049.155cm,5959.94cm,0.0cm
closed,80,-126.941cm,5959.94cm,0.0cm
closed,80,-126.941cm,6832.056cm,0.0cm
closed,80,1049.155cm,6832.056cm,0.0cm
closed,81,4298.95cm,-214.63cm,0.0cm
closed,81,3787.14cm,-214.63cm,0.0cm
closed,81,3787.14cm,321.31cm,0.0cm
closed,81,4298.95cm,321.31cm,0.0cm
closed,82,4908.55cm,-214.63cm,0.0cm
closed,82,4396.74cm,-214.63cm,0.0cm
closed,82,4396.74cm,321.31cm,0.0cm
closed,82,4908.55cm,321.31cm,0.0cm
closed,83,-2856.911cm,-182.498cm,0.0cm
closed,83,-3061.339cm,-182.498cm,0.0cm
closed,83,-3061.339cm,344.254cm,0.0cm
closed,83,-2856.911cm,344.254cm,0.0cm
closed,84,-3161.711cm,-182.498cm,0.0cm
closed,84,-3366.139cm,-182.498cm,0.0cm
closed,84,-3366.139cm,344.254cm,0.0cm
closed,84,-3161.711cm,344.254cm,0.0cm
closed,85,124.157cm,7943.007cm,0.0cm
closed,85,817.574cm,7943.007cm,0.0cm
closed,85,817.574cm,7304.372cm,0.0cm
closed,85,124.157cm,7304.372cm,0.0cm
closed,86,7.936cm,8619.114cm,0.0cm
closed,86,822.821cm,8619.114cm,0.0cm
closed,86,822.821cm,8025.567cm,0.0cm
closed,86,7.936cm,8025.567cm,0.0cm
