open,1,120.0,1332.0,0.0
open,1,120.0,2130.0,0.0
open,1,120.0,2016.0,0.0
open,1,120.0,2250.0,0.0
open,1,-528.0,312.0,0.0
open,1,-1560.0,-60.0,0.0
open,1,-1440.0,-60.0,0.0
open,1,360.0,1512.0,0.0
open,1,360.0,1392.0,0.0
open,1,-1008.0,312.0,0.0
open,1,360.0,1716.0,0.0
open,1,-1191.0,-60.0,0.0
open,1,1920.0,-60.0,0.0
open,1,-1311.0,-60.0,0.0
open,1,120.0,3330.73,0.0
open,1,120.0,3079.47,0.0
open,1,1680.0,-60.0,0.0
open,1,120.0,1632.0,0.0
open,1,360.0,1836.0,0.0
open,1,120.0,2514.0,0.0
open,1,120.0,2376.0,0.0
open,1,120.0,2634.0,0.0
open,1,120.0,851.999,0.0
open,1,600.0,-60.0,0.0
open,1,840.0,-60.0,0.0
open,1,780.0,-60.0,0.0
open,1,-240.0,312.0,0.0
open,1,-360.0,312.0,0.0
open,1,540.0,-60.0,0.0
open,1,360.0,-480.0,0.0
open,1,-840.0,312.0,0.0
open,1,120.0,966.0,0.0
open,1,120.0,552.0,0.0
open,1,360.0,-360.0,0.0
open,1,120.0,1086.0,0.0
open,1,360.0,732.0,0.0
open,1,360.0,612.0,0.0
open,1,-720.0,312.0,0.0
